Item,Genre,P1
Appius and Virginia,TC,-0.23974467
Amends for Ladies,CO,-0.917185198
A Woman Is a Weathercock,CO,-0.811867622
Fuimus Troes,HI,0.281604374
The Bloody Brother,TR,-0.375634899
The Elder Brother,CO,-0.585917864
The Faithful Shepherdess,TC,-0.035571812
"The Night Walker, or The Little Thief",CO,-0.941966148
Rule a Wife and Have a Wife,CO,-1.082817521
Thierry and Theodoret,TR,-0.549251336
The Two Noble Kinsmen,TC,-0.48417256
The Broken Heart,TR,-0.251885858
Perkin Warbeck,HI,0.090163095
The Fancies Chaste and Noble,CO,-0.417341247
The Lady's Trial,CO,-0.304232057
The Lover's Melancholy,CO,-0.461364329
Love's Sacrifice,TR,-0.621955996
'Tis Pity She's a Whore,TR,-0.951118131
Imperiale,TR,-0.045917786
Cornelia,TR,0.42723902
Antonius,TR,0.242902432
The Most Virtuous and Godly Susanna,CO,-0.476424047
Supposes,CO,-0.780307159
Jocasta,TR,0.294208657
The Glass of Government,TR,-0.156337481
Argalus and Parthenia,TC,-0.221535081
The Hollander,CO,-0.621270814
The Ladies' Privilege,TC,-0.341973353
Albertus Wallenstein,TR,-0.170615344
Wit in a Constable,CO,-0.652415009
Lodovick Sforza,TR,-0.202053957
Sir Giles Goosecap,CO,-0.571615721
The Strange Discovery,TC,-0.544578937
"George a Green, the Pinner of Wakefield",CO,-0.411948948
"Alphonsus, King of Aragon",CO,-0.021939669
Orlando Furioso,HI,0.122091829
Friar Bacon and Friar Bongay,CO,-0.017465126
The Scottish History of James the Fourth,HI,-0.342934047
Alaham,TR,0.049224374
Mustapha,TR,0.192044685
Christ's Passion,TR,0.549978501
"Il Pastor Fido, or The Faithful Shepherd",TC,-0.367241139
The Queen of Aragon,TC,-0.289082213
Sicily and Naples,TR,-0.405059657
Englishmen for My Money,CO,-0.909358469
Apollo Shroving,CO,-0.32715035
"The Pardoner and the Friar, the Curate, and Neighbor Pratte",CO,0.05390931
The Brazen Age,TC,0.226180013
A Challenge for Beauty,CO,-0.590023405
The English Traveller,CO,-0.481924662
The Fair Maid of the Exchange,CO,-0.937950141
1 The Fair Maid of the West,CO,-0.706333136
2 The Fair Maid of the West,CO,-0.443815483
The Four Prentices of London,TC,-0.200999811
"The Golden Age, or The Lives of Jupiter and Saturn",TC,-0.017112057
1 If You Know Not Me You Know Nobody,HI,-0.456946684
2 If You Know Not Me You Know Nobody,HI,-0.601264052
1 The Iron Age,TC,0.05646767
2 The Iron Age,TC,0.060313598
1 Edward the Fourth,HI,-0.305984245
2 Edward the Fourth,HI,-0.282936745
A Maidenhead Well Lost,CO,-0.727084902
The Rape of Lucrece,TR,0.013380447
The Royal King and the Loyal Subject,TC,-0.419225304
The Wise Woman of Hogsdon,CO,-1.060861919
A Woman Killed with Kindness,TR,-0.729209063
The Late Lancashire Witches,CO,-0.711569323
"Histriomastix, or The Player Whipped",CO,0.016175382
"Band, Cuff, and Ruff, or Exchange Ware at the Second Hand",CO,-1.298352293
"Technogamia, or The Marriages of the Arts",CO,-0.54278706
1 The Troublesome Reign of King John,HI,0.134139986
2 The Troublesome Reign of King John,HI,0.358084085
The Devil's Charter,TR,0.088783368
Adrasta,TC,0.028597693
Every Man in His Humour,CO,-0.94780424
Every Man Out of His Humour,CO,-0.693830757
Cynthia's Revels,CO,-0.431375135
Poetaster,CO,-0.410430782
Sejanus His Fall,TR,0.183099894
Volpone,CO,-0.611821993
Epicoene,CO,-0.783955724
The Alchemist,CO,-0.615068097
Catiline His Conspiracy,TR,-0.058987042
The Case Is Altered,CO,-0.799269499
"The New Inn, or The Light Heart",CO,-0.205935474
The Conspiracy,TR,-0.393940027
Ram Alley,CO,-0.785438813
A Knack to Know a Knave,CO,-0.566304365
Rhodon and Iris,CO,0.01446783
"1 Jeronimo, with the Wars of Portugal",HI,-0.416259269
The Spanish Tragedy,TR,0.006006174
The True Chronicle of King Leir,TR,-0.486459604
Cupid's Revenge,TR,-1.027785696
"The Wounds of Civil War, or Marius and Scilla",TR,0.272491332
A King and No King,TC,-1.17596664
The Knight of the Burning Pestle,CO,-0.578164238
"A Larum for London, or The Siege of Antwerp",HI,0.01303021
The Maid's Tragedy,TR,-0.820060035
Philaster,TC,-0.714037667
The Scornful Lady,CO,-1.16453709
The Phoenix in Her Flames,TR,-0.290062808
The Woman Hater,CO,-0.613730697
All for Money,CO,-0.624315651
Campaspe,CO,-0.413719235
Endymion,CO,-0.400332592
Gallathea,CO,-0.509729082
Love's Metamorphosis,TC,-0.140860056
Midas,CO,-0.113141428
Mother Bombie,CO,-0.548297308
Sappho and Phao,CO,-0.51309115
The Woman in the Moon,CO,-0.442384136
The Maid's Metamorphosis,CO,-0.390180938
The Dumb Knight,CO,-0.254539183
Herod and Antipater,TR,-0.525086816
The Jew of Malta,TR,-0.340866736
The Massacre at Paris,TR,0.161250761
1 Tamburlaine,TR,0.586176983
2 Tamburlaine,TR,0.598404065
Dr. Faustus,TR,-0.2650709
Edward the Second,HI,-0.004593603
"Dido, Queen of Carthage",TR,-0.040234777
A Fine Companion,CO,-0.776263082
Holland's Leaguer,CO,-0.752177626
Antonio and Mellida,TC,-0.313947578
Antonio's Revenge,TR,-0.188697326
The Dutch Courtesan,CO,-0.717051234
The Insatiate Countess,TR,-0.369358828
The Malcontent,TC,-0.377255082
"Parasitaster, or The Fawn",CO,-0.300192549
What You Will,CO,-0.455513197
"The Wonder of Women, or Sophonisba",TR,-0.004554239
The Turk,TR,0.024250346
The Bondman,CO,-0.468783519
The Duke of Milan,TR,-0.506322772
The Emperor of the East,TC,-0.470190749
The Great Duke of Florence,TC,-0.640359431
The Maid of Honour,CO,-0.564915677
A New Way to Pay Old Debts,CO,-0.804142219
The Picture,TC,-0.569051586
"The Renegado, or The Gentleman of Venice",CO,-0.505247538
The Roman Actor,TR,-0.217456026
The Unnatural Combat,TR,-0.494658997
The Virgin Martyr,TR,-0.384696166
The Fatal Dowry,TR,-0.584874205
The Heir,CO,-0.847316491
"Antigone, the Theban Princess",TR,0.14595025
"Cleopatra, Queen of Egypt",TR,-0.041622677
"Julia Agrippina, Empress of Rome",TR,-0.057260205
The City Match,CO,-0.755723282
"Blurt, Master Constable",CO,-0.645807746
A Chaste Maid in Cheapside,CO,-0.890893995
